Cluster,customer_number,total_spend,num_of_unique_visits,total_quantity,average_basket_quantity,average_basket_spend,SUM_basket_categories,avg_spend_veg_category,avg_spend_other_food_category,avg_spend_miscelleanous_category
1,4781,957.45,29,220,1.116751269035533,4.86,145,1.1753968253968257,1.4526829268292685,7.102068965517241
1,4833,384.32,22,220,1.2290502793296088,2.15,84,1.6098013245033111,1.5950980392156862,3.3272222222222223
1,4848,591.42,64,398,1.1740412979351031,1.74,218,1.141830985915493,1.2231097560975608,2.4857608695652176
1,4873,672.07,47,355,1.1601307189542485,2.2,217,0.8250434782608695,1.0619819819819818,3.5605426356589147
1,4922,887.9100000000001,45,297,1.222222222222222,3.65,142,0.9398039215686276,0.8780571428571429,9.666478873239438
1,4934,763.06,73,346,1.3155893536121672,2.9,212,1.0758695652173913,1.2893333333333334,3.1697206703910608
1,5006,450.43,39,195,1.21875,2.82,141,1.0234328358208955,0.9952173913043478,4.098536585365854
1,5008,628.29,25,331,1.497737556561086,2.84,120,1.0776315789473685,1.1853061224489796,3.27126050420168
1,5029,619.03,70,317,1.3208333333333333,2.58,206,1.1162765957446803,0.7796992481203009,4.56
1,5044,798.25,45,237,1.3941176470588237,4.7,117,1.146862745098039,1.736857142857143,10.795652173913044
1,5055,396.86,48,270,1.291866028708134,1.9,124,0.7692899408284023,1.2921052631578946,3.456349206349207
1,5104,490.49,61,265,1.2045454545454544,2.23,169,1.8024137931034483,1.234615384615385,3.4002222222222227
1,5146,576.71,44,226,1.1957671957671958,3.05,165,0.9485416666666668,2.0086206896551726,3.916813186813186
1,5198,704.13,26,360,1.176470588235294,2.3,178,1.2083088235294115,1.544,3.408846153846154
1,5264,447.37,23,180,1.1111111111111112,2.76,135,0.8555769230769231,2.948089887640449,3.602564102564103
1,5268,339.65,46,171,1.5267857142857144,3.03,81,2.0338461538461536,1.1917647058823528,3.0911666666666666
1,5275,402.92,19,254,1.1493212669683257,1.82,123,1.117948717948718,1.3055696202531644,2.91344827586207
1,5296,641.0,102,253,1.15,2.91,192,1.0073770491803278,1.7051219512195124,3.3750993377483445
1,5310,574.65,34,369,1.458498023715415,2.27,144,1.1701176470588237,0.7579824561403509,2.286941176470588
1,5321,891.5,23,520,1.1063829787234043,1.9,179,1.330153256704981,2.077530864197531,2.141958762886598
1,5485,507.06,55,264,1.1528384279475985,2.21,168,1.1467441860465115,1.1979807692307691,3.8358108108108113
1,5503,399.28,19,219,1.2514285714285711,2.28,116,1.0233333333333332,1.2158000000000002,2.970941176470588
1,5630,454.78,15,262,1.284313725490196,2.23,106,0.8640425531914894,2.1463636363636365,2.4223404255319148
1,5642,472.4,81,187,1.087209302325581,2.75,153,0.8256410256410257,1.4598245614035086,3.922967032967033
1,5702,676.6,42,243,1.151658767772512,3.21,155,1.0989285714285717,3.5822695035461,2.390434782608696
1,5754,696.33,55,162,1.1824817518248176,5.08,122,0.8106521739130435,5.8575,5.464615384615385
1,5858,614.61,33,487,1.4892966360856268,1.88,180,0.7704011461318052,2.8264788732394366,2.165074626865671
1,5869,378.46,78,133,1.146551724137931,3.26,106,0.7789473684210526,1.7816666666666665,3.268240740740741
